ID,Position,Height,Weight,Sponsorship Earnings,Shoe Sponsor,Career Stage,Age
1,forward,192,218,561,yes,veteran,29
2,center,218,251,60,no,mid-career,35
3,forward,197,221,1312,no,rookie,22
4,forward,192,219,1359,no,rookie,22
5,forward,198,223,362,yes,veteran,29
6,guard,166,188,1536,yes,rookie,21
7,forward,195,221,694,no,veteran,25
8,guard,182,199,1678,yes,rookie,21
9,guard,189,199,385,yes,mid-career,27
10,forward,205,232,1416,no,rookie,24
11,center,206,246,314,no,mid-career,29
12,guard,185,207,1497,yes,rookie,23
13,guard,172,183,1383,yes,rookie,24
14,guard,169,183,1034,yes,rookie,24
15,guard,185,197,178,yes,mid-career,29
16,forward,215,232,434,no,mid-career,30
17,guard,158,184,162,yes,veteran,29
18,guard,190,207,648,yes,mid-career,27
19,center,195,235,481,no,mid-career,28
20,guard,192,200,427,yes,mid-career,32
21,forward,202,220,542,no,mid-career,31
22,forward,184,213,12,no,mid-career,32
23,forward,190,215,1179,no,rookie,22
24,guard,178,193,1078,no,rookie,21
25,guard,185,200,213,yes,mid-career,31
26,forward,191,218,1855,no,rookie,19
27,center,196,235,47,no,veteran,32
28,forward,198,221,1409,no,rookie,22
29,center,207,247,1065,no,veteran,27
30,center,201,244,1111,yes,mid-career,25
