ID	  ,  Speed  ,  Agility  ,  Draft
1  ,  2.50  ,  6.00  ,  no
2  ,  3.75  ,  8.00  ,  no
3  ,  2.25  ,  5.50  ,  no
4  ,  3.25  ,  8.25  ,  no
5  ,  2.75  ,  7.50  ,  no
6  ,  4.50  ,  5.00  ,  no
7  ,  3.50  ,  5.25  ,  no
8  ,  3.00  ,  3.25  ,  no
9  ,  4.00  ,  4.00  ,  no
10  ,  4.25  ,  3.75  ,  no
11  ,  2.00  ,  2.00  ,  no
12  ,  5.00  ,  2.50  ,  no
13  ,  8.25  ,  8.50  ,  no
14  ,  5.75  ,  8.75  ,  yes
15  ,  4.75  ,  6.25  ,  yes
16  ,  5.50  ,  6.75  ,  yes
17  ,  5.25  ,  9.50  ,  yes
18  ,  7.00  ,  4.25  ,  yes
19  ,  7.50  ,  8.00  ,  yes
20  ,  7.25  ,  5.75  ,  yes
21  ,  6.75  ,  3.00  ,  yes
