ID	  ,  Target	 ,  Pred.  ,  Outcome
1	 , 	spam	 , 	ham	 , 	FN	 
2	 , 	spam	 , 	ham	 , 	FN	
3	 , 	ham	 , 	ham	 , 	TN	
4	 , 	spam	 , 	spam	 , 	TP	
5	 , 	ham	 , 	ham	 , 	TN	
6	 , 	spam	 , 	spam	 , 	TP	
7	 , 	ham	 , 	ham	 , 	TN	
8	 , 	spam	 , 	spam	 , 	TP	
9	 , 	spam	 , 	spam	 , 	TP	
10	 , 	spam	 , 	spam	 , 	TP	
11	 , 	ham	 , 	ham	 , 	TN	
12	 , 	spam	 , 	ham	 , 	FN	
13	 , 	ham	 , 	ham	 , 	TN	
14	 , 	ham	 , 	ham	 , 	TN	
15	 , 	ham	 , 	ham	 , 	TN	
16	 , 	ham	 , 	ham	 , 	TN	
17	 , 	ham	 , 	spam	 , 	FP	
18	 , 	spam	 , 	spam	 , 	TP	
19	 , 	ham	 , 	ham	 , 	TN	
20	 , 	ham	 , 	spam	 , 	FP	
