ID	  ,  Target	 ,  Prediction 
1	 , 	durionis	 , 	fructosus	
2	 , 	ficulneus	 , 	fructosus	
3	 , 	fructosus	 , 	fructosus	
4	 , 	ficulneus	 , 	ficulneus	
5	 , 	durionis	 , 	durionis	
6	 , 	pseudo.	 , 	pseudo.	
7	 , 	durionis	 , 	fructosus	
8	 , 	ficulneus	 , 	ficulneus	
9	 , 	pseudo.	 , 	pseudo.	
10	 , 	pseudo.	 , 	fructosus	
11	 , 	fructosus	 , 	fructosus	
12	 , 	ficulneus	 , 	ficulneus	
13	 , 	durionis	 , 	durionis	
14	 , 	fructosus	 , 	fructosus	
15	 , 	fructosus	 , 	ficulneus	
16	 , 	ficulneus	 , 	ficulneus	
17	 , 	ficulneus	 , 	ficulneus	
18	 , 	fructosus	 , 	fructosus	
19	 , 	durionis	 , 	durionis	
20	 , 	fructosus	 , 	fructosus	
21	 , 	fructosus	 , 	fructosus	
22	 , 	durionis	 , 	durionis	
23	 , 	fructosus	 , 	fructosus	
24	 , 	pseudo.	 , 	fructosus	
25	 , 	durionis	 , 	durionis	
26	 , 	pseudo.	 , 	pseudo.	
27	 , 	fructosus	 , 	fructosus	
28	 , 	ficulneus	 , 	ficulneus	
29	 , 	fructosus	 , 	fructosus	
30	 , 	fructosus	 , 	fructosus	
